inchikey,compound_name,compound_class,fungal_producer,n_spectra,doi,example_accession
DWCXXICTUDDKTB-ZYHUDNBSSA-N,(+)-Flavipucine,Polyketides,Phoma sp. strain 7204,1,10.1002/ejoc.201100284,MycoMSB-HZI-001001
IUVFAJHMVAFLJE-OAHLLOKOSA-N,"(3aS)-3a,5,5,8-tetramethyl-3,3a,4,5-tetrahydro-1Hcyclopenta[de]isochromen-1-one",Terpene,Hypoxylon rickii,4,10.1016/j.phytochem.2015.06.002,MycoMSB-HZI-000169
OGKCRIOQDYPIOZ-OAHLLOKOSA-N,"(3aS)-6-hydroxy-3a,5,5,8-tetramethyl-3,3a,4,5-tetrahydro-1Hcyclopenta[de]isochromen1-one",Terpene,Hypoxylon rickii,9,10.1016/j.phytochem.2015.06.002,MycoMSB-HZI-000034
PCEVLQFNPPWJEB-NZDRZINCSA-N,"(3aS,8R)-3a,5,5,8-tetramethyl-3,3a,4,5,7,8-hexahydro-1Hcyclopenta[de]isochromen-1-one",Terpene,Hypoxylon rickii,8,10.1016/j.phytochem.2015.06.002,MycoMSB-HZI-000058
AVIRMQMUBGNCKS-RWCYGVJQSA-N,"10,11-Dehydrocurvularin",Polyketides,Curvularia sp. (strain no. 768),3,10.1002/ejoc.200800522,MycoMSB-HZI-000753
CAMCSBCRRUTMEK-OAHLLOKOSA-N,10-Oxodehydrodihydrobotrydial,Terpenoids,Botrytis cinerea,9,10.1016/j.phytochem.2015.06.002,MycoMSB-HZI-000044
RGIWEJOMKQEMPD-BMLXAOGMSA-N,"19,20-epoxycytochalasin N",Alkaloids,Xylaria hypoxylon,1,10.1016/s0040-4020(97)00305-0,MycoMSB-HZI-000703
GSPOYKSHFNFUKI-HDSNRSDKSA-N,"19,20-epoxycytochalasin Q",Alkaloids,Xylaria obovata,1,10.1016/s0040-4020(01)85632-5,MycoMSB-HZI-000709
YSJADBHWPWGSNO-YXNCFWFCSA-N,21-Acetoxycytochalasin J3,Alkaloids,Diaporthe sp. GDG-118,2,10.1080/14786419.2019.1700504,MycoMSB-HZI-000277
VHWTVINEPPOCLA-DTMQFJJTSA-N,3-Deoxyaphidicolin,Terpenoids,Phoma betae Frank PS-13,3,10.1093/nar/11.4.1197,MycoMSB-HZI-000592
PETDNGRBYPTDNI-QSNWBFGMSA-N,5'-O-Methylmelledonal,Terpenoids,Armillaria mellea,2,10.1016/s0031-9422(00)84599-9,MycoMSB-HZI-000436
YETSBBYQOFXYGV-SSDOTTSWSA-N,5-Methylmellein,Shikimates and Phenylpropanoids,Fusicoccum amygdali Del.,2,10.1016/s0040-4039(01)99954-x,MycoMSB-HZI-000142
YETSBBYQOFXYGV-UHFFFAOYSA-N,5-methyl mellein,Polyketide,Hypoxylon ticinense,2,10.2509/naf2008.003.0075,MycoMSB-HZI-000041
OLKIGKBTFQUWPZ-SHTLVRLNSA-N,"6""-hidroxymitorubrinol",Polyketide,Hypoxylon fulvo-sulphureum,2,10.1007/s11557-015-1043-1,MycoMSB-HZI-000021
DQKCGVTWWMUREA-OIUIXCLQSA-N,"6""-hidroxymitorubrinol acetate",Polyketide,Hypoxylon fulvo-sulphureum,3,10.1007/s11557-015-1043-1,MycoMSB-HZI-000032
CEBXXEKPIIDJHL-UHFFFAOYSA-N,Alternariol,Shikimates and Phenylpropanoids,Alternaria tenuis,3,10.1042/bj0550421,MycoMSB-HZI-000364
NOFOAYPPHIUXJR-APNQCZIXSA-N,Aphidicolin,Terpenoids,Cephalosporium aphidicola,2,10.1039/p19730002841,MycoMSB-HZI-000456
QETHRCCHQRWBIJ-OXKPQTCESA-N,Armillaridin,Terpenoids,Armillaria mellea,3,10.1055/s-2007-969711,MycoMSB-HZI-000195
ISKWRTCZWOXOOF-GNMVUSIZSA-N,Armillarin,Terpenoids,Armillaria mellea,2,10.1055/s-2007-969711,MycoMSB-HZI-000636
KWJJPEZBNLGOFB-RNNQDMPLSA-N,Arnamial,Terpenoids,Armillaria mellea,3,10.1021/np900314p,MycoMSB-HZI-000192
XLKIJHXPWYIGIM-RXMQYKEDSA-N,Ascochin,Shikimates and Phenylpropanoids,Ascochyta sp. strain 6651,3,10.1002/ejoc.200600907,MycoMSB-HZI-000326
GCIKKGSNXSCKCP-PJWJRCBPSA-N,Aspochalasin D,Alkaloids,Aspergillus niveus,7,10.7164/antibiotics.57.715,MycoMSB-HZI-000247
TYOGSRFPSVCJQL-QYNSZGEFSA-N,Aspochalasin I,Alkaloids,Aspergillus flavipes,10,10.1021/np030353m,MycoMSB-HZI-000237
GBCXTRJHTIEBIA-DNJNAQMOSA-N,Aspochalasin M,Alkaloids,Spicaria elegans,5,10.1002/ejoc.200801085,MycoMSB-HZI-000261
RCAULRNMJFUWRP-CKXLWBSDSA-N,Aspyrone,Shikimates and Phenylpropanoids,Exophiala sp.,7,10.1021/np800107c,MycoMSB-HZI-000315
WGPOPPKSQRZUTP-LBPRGKRZSA-N,Averantin,Polyketides,Aspergillus parasiticus,1,10.1039/j39660000855,MycoMSB-HZI-000412
